Entity,Code,Year,sh_xpd_chex_pp_cd,ny_gdp_pcap_pp_kd,population_historical,owid_region,time,time,time,time
Paraguay,PRY,2019,1016.2749,13609.723,6515060,South America,2019,2023,2019,2019
Peru,PER,2019,698.8035,12735.168,32449301,South America,2019,2023,2019,2019
Philippines,PHL,2019,379.195,8731.861,110804685,Asia,2019,2023,2019,2019
Poland,POL,2019,2178.462,33159.75,38225884,Europe,2019,2023,2019,2019
Portugal,PRT,2019,3444.5684,34945.66,10343218,Europe,2019,2023,2019,2019
Qatar,QAT,2019,3324.1187,90762.4,2797927,Asia,2019,2023,2019,2019
Romania,ROU,2019,1825.2283,30001.105,19501543,Europe,2019,2023,2019,2019
Russia,RUS,2019,1704.5647,27254.574,146533063,Europe,2019,2023,2019,2019
Rwanda,RWA,2019,144.59143,2190.562,12776104,Africa,2019,2023,2019,2019
Saint Kitts and Nevis,KNA,2019,1628.5676,31178.648,46974,North America,2019,2023,2019,2019
Saint Lucia,LCA,2019,702.8055,15460.798,177674,North America,2019,2023,2019,2019
Saint Vincent and the Grenadines,VCT,2019,654.3883,14183.188,104182,North America,2019,2023,2019,2019
Samoa,WSM,2019,386.86145,6346.2563,209793,Oceania,2019,2023,2019,2019
San Marino,SMR,2019,5238.5825,60076.01,34674,Europe,2019,2023,2019,2019
Sao Tome and Principe,STP,2019,216.89584,3482.0247,213404,Africa,2019,2023,2019,2019
Saudi Arabia,SAU,2019,2696.3062,47714.113,30472810,Asia,2019,2023,2018,2018
Senegal,SEN,2019,161.0826,3430.484,16352926,Africa,2019,2023,2019,2019
Serbia,SRB,2019,1626.7286,18306.904,6966154,Europe,2019,2023,2019,2019
Seychelles,SYC,2019,1396.2738,29189.785,117662,Africa,2019,2023,2019,2019
Sierra Leone,SLE,2019,152.66757,1655.8433,7731995,Africa,2019,2023,2019,2019
Singapore,SGP,2019,4415.9277,98455.33,5669562,Asia,2019,2023,2019,2019
Slovakia,SVK,2019,2222.467,32056.78,5450626,Europe,2019,2023,2019,2019
Slovenia,SVN,2019,3478.892,39061.25,2083436,Europe,2019,2023,2019,2019
Solomon Islands,SLB,2019,122.822014,2616.9084,728156,Oceania,2019,2023,2019,2019
South Africa,ZAF,2019,1187.4005,13850.8955,59587880,Africa,2019,2023,2019,2019
South Korea,KOR,2019,3497.8677,42758.59,51767843,Asia,2019,2023,2019,2019
Spain,ESP,2019,3826.7764,40782.234,47435120,Europe,2019,2023,2019,2019
Sri Lanka,LKA,2019,502.33908,13639.021,22410552,Asia,2019,2023,2019,2019
Sudan,SDN,2019,207.14287,4133.1304,45548178,Africa,2019,2023,2019,2019
Suriname,SUR,2019,1620.3612,18448.979,605780,South America,2019,2023,2019,2019
Sweden,SWE,2019,5942.428,52850.57,10279122,Europe,2019,2023,2019,2019
Switzerland,CHE,2019,8159.703,69923.93,8577526,Europe,2019,2023,2019,2019
Tajikistan,TJK,2019,258.9041,3575.282,9529971,Asia,2019,2023,2019,2019
Tanzania,TZA,2019,101.03467,2578.8403,59174889,Africa,2019,2023,2019,2019
Thailand,THA,2019,724.52344,17997.133,71522265,Asia,2019,2023,2019,2019
Togo,TGO,2019,122.358955,2063.7588,8463068,Africa,2019,2023,2019,2019
Tonga,TON,2019,314.1882,6344.4214,105688,Oceania,2019,2023,2019,2019
Trinidad and Tobago,TTO,2019,1734.4132,25698.006,1484898,North America,2019,2023,2019,2019
Tunisia,TUN,2019,631.6803,11113.796,11875085,Africa,2019,2023,2019,2019
Turkey,TUR,2019,1170.5746,28476.684,85357671,Asia,2019,2023,2019,2019
Turkmenistan,TKM,2019,937.08685,14992.604,6803942,Asia,2019,2023,2019,2019
Tuvalu,TUV,2019,1135.7441,4831.7363,10603,Oceania,2019,2023,2019,2019
Uganda,UGA,2019,94.350716,2250.015,42999636,Africa,2019,2023,2019,2019
Ukraine,UKR,2019,900.02954,12804.955,44957450,Europe,2019,2023,2019,2019
United Arab Emirates,ARE,2019,3244.3728,71782.16,9377855,Asia,2019,2023,2019,2019
United Kingdom,GBR,2019,4856.4956,46909.08,67110958,Europe,2019,2023,2019,2019
United States,USA,2019,10661.028,62470.93,337790068,North America,2019,2023,2019,2019
Uruguay,URY,2019,2276.2139,23552.842,3397205,South America,2019,2023,2019,2019
Uzbekistan,UZB,2019,423.5923,7403.7427,32964702,Asia,2019,2023,2019,2019
Vanuatu,VUT,2019,107.00121,3070.404,291994,Oceania,2019,2023,2019,2019
Vietnam,VNM,2019,536.00665,10252.004,97173778,Asia,2019,2023,2019,2019
Zambia,ZMB,2019,186.97934,3372.359,18513841,Africa,2019,2023,2019,2019
Zimbabwe,ZWE,2019,132.0687,2203.3967,15271377,Africa,2019,2023,2019,2019
